variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,conditional_max,0.1,0.0,0.10357184160945439,0.08342867719736305,0.5733397023519425,0.02808523512499611,26.825991821289062,2.4624585172579443,0.10357184160945439,0.08342867719736306,0.10357184160945439,0.08342867719736305,0.10357184160945439,0.08342867719736305,0.4,0.5477225575051662,0.5733397023519424,0.02808523512499614,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,independent,0.1,0.0,0.06797068800989518,0.05322234885828176,0.42366240498850194,0.09463952988786471,132.50678100585938,25.058574976685133,0.06797068800989517,0.05322234885828176,0.06797068800989518,0.05322234885828176,0.06797068800989518,0.05322234885828176,0.2,0.44721359549995804,0.42366240498850194,0.0946395298878647,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,joint,0.1,0.0,0.03969060355143796,0.03337603218124215,0.47454456889898156,0.0620219317424029,120.96588287353515,13.418436511438381,0.03969060355143796,0.033376032181242146,0.03969060355143796,0.03337603218124215,0.03969060355143796,0.03337603218124215,0.0,0.0,0.47454456889898167,0.06202193174240291,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,marginal_max,0.1,0.0,0.08570061913847282,0.06012397497756222,0.5097336781998948,0.037771355555448034,28.450914001464845,2.5462132184820563,0.08570061913847282,0.06012397497756222,0.08570061913847282,0.06012397497756222,0.08570061913847282,0.06012397497756222,0.4,0.5477225575051662,0.5097336781998948,0.03777135555544801,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random7:3-4-8-10-11-12-14,relational_max,0.1,0.0,0.03009494013711093,0.03185527695527983,0.30949109781508144,0.043620882689244765,4.740217590332032,1.760958421616565,0.03009494013711093,0.03185527695527983,0.03009494013711093,0.03185527695527983,0.03009494013711093,0.03185527695527983,0.0,0.0,0.30949109781508144,0.04362088268924473,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,single_sensor_0,conditional_max,0.1,0.0,0.045160817077655124,0.025527181279870133,0.14576690363278103,0.03685893062315223,26.82528953552246,2.8212474667116787,0.045160817077655124,0.025527181279870127,0.045160817077655124,0.025527181279870133,0.045160817077655124,0.025527181279870133,0.0,0.0,0.14576690363278103,0.036858930623152236,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,single_sensor_0,independent,0.1,0.0,0.045160817077655124,0.025527181279870133,0.14576690363278103,0.03685893062315223,26.82528953552246,2.8212474667116787,0.045160817077655124,0.025527181279870127,0.045160817077655124,0.025527181279870133,0.045160817077655124,0.025527181279870133,0.0,0.0,0.14576690363278103,0.036858930623152236,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,single_sensor_0,joint,0.1,0.0,0.045160817077655124,0.025527181279870133,0.14576690363278103,0.03685893062315223,26.82528953552246,2.8212474667116787,0.045160817077655124,0.025527181279870127,0.045160817077655124,0.025527181279870133,0.045160817077655124,0.025527181279870133,0.0,0.0,0.14576690363278103,0.036858930623152236,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,single_sensor_0,marginal_max,0.1,0.0,0.045160817077655124,0.025527181279870133,0.14576690363278103,0.03685893062315223,26.82528953552246,2.8212474667116787,0.045160817077655124,0.025527181279870127,0.045160817077655124,0.025527181279870133,0.045160817077655124,0.025527181279870133,0.0,0.0,0.14576690363278103,0.036858930623152236,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,single_sensor_0,relational_max,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",1.0,0.0,0.0,0.0
