variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
matched_tight,circuit,bank1:3,1.0557946069990674,0.10891641360417616,0.5500537856666293,0.11093331217842717,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,3.5921732584635414e-05,5.422821715428664e-06,3,"[11, 12, 13]",1.0
matched_tight,circuit,bank2:6-10,0.9802452333327286,0.0050417298639311514,0.4868777550012358,0.005107102396490065,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,13.0,0.0,2.0821889241536457e-05,5.728664808572165e-06,3,"[11, 12, 13]",1.0
matched_tight,circuit,full,0.9836267263332653,0.013601248584654644,0.48890417033423245,0.002386414499426597,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,15.0,0.0,2.2729237874348957e-05,3.449524945292585e-06,3,"[11, 12, 13]",1.0
matched_tight,circuit,random1:1,0.9843175136666105,0.0008389220641305643,0.4884520596679067,0.0025933757589847515,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,2.4159749348958332e-05,1.1012082465927615e-06,3,"[11, 12, 13]",1.0
matched_tight,circuit,random3:5-8-14,0.9845854706679044,0.0021742814368586145,0.6145493689982686,0.10687944717793899,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,12.0,0.0,2.4159749348958332e-05,5.827046324355875e-06,3,"[11, 12, 13]",1.0
matched_tight,circuit,random7:3-4-8-10-11-12-14,0.9822847053328587,0.0024579130529567414,0.48719728333283757,0.004445317029873051,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.7020772298177082e-05,6.3498765167993474e-06,3,"[11, 12, 13]",1.0
matched_tight,circuit,single_sensor_0,0.9836586549996961,0.003245785501170018,0.5515367196664253,0.11462971449873352,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,1.0,0.0,2.86102294921875e-06,9.5367431640625e-07,3,"[11, 12, 13]",1.0
matched_tight,gaussian_fitted,bank0:0-1-2-4-5-7-8,0.12392357533220395,0.010362743150321676,0.002989334000934226,0.00010426650689070527,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,25883840.0,0.0,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_tight,gaussian_fitted,bank1:3,0.6712454103338436,0.03892198577016157,0.0067139220009266865,0.00018530634654285476,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,32941280.0,0.0,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_tight,gaussian_fitted,bank2:6-10,0.54086024299977,0.03388070474497181,0.00575460199979716,0.00018891056542506013,54.0,0.0,3171653.3333333335,217954.6570581444,1.0,0.0,13070.0,898.1647955692764,39499520.0,0.0,13.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
