run_dir,seed,mask_index,a,b,score,metric,interpretation,auroc_delta,ci_low,ci_high,bootstrap_reps_used,n_units,loc_ap_delta,end_to_end_unique_top1_delta,refused,reason
matched/seed11,11,7,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask7.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask7.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,0.0,0.0,0.0,1000,10,,,,
matched/seed11,11,7,diagnosis_mask7.npz,diagnosis_gaussian_fitted_mask7.npz,relational_max,loc_ap,,,,,,,,,True,no bootstrap replicate produced a defined statistic
matched/seed11,11,7,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask7.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask7.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,0.0,0.0,1000,10,,0.0,,
matched/seed11,11,7,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask7.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask7.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,0.0,0.0,0.0,1000,10,,,,
matched/seed11,11,7,diagnosis_mask7.npz,diagnosis_gmm_fitted_mask7.npz,relational_max,loc_ap,,,,,,,,,True,no bootstrap replicate produced a defined statistic
matched/seed11,11,7,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask7.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask7.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,0.0,0.0,1000,10,,0.0,,
matched/seed12,12,0,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.10866308607925679,-0.1345908720031919,-0.07561557571770161,1000,10,,,,
matched/seed12,12,0,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2754347672788698,-0.21413254052091235,1000,10,-0.24955715814751966,,,
matched/seed12,12,0,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask0.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.39312431606549253,-0.3124953078078079,1000,10,,-0.3566265060240964,,
matched/seed12,12,0,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask0.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.1153462040934824,-0.14609850596416266,-0.06985739503034223,1000,10,,,,
matched/seed12,12,0,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask0.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.3079138908785429,-0.2136490348694761,1000,10,-0.26644090135656395,,,
matched/seed12,12,0,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask0.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask0.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2232382170704539,-0.123493793576242,1000,10,,-0.17349397590361443,,
matched/seed12,12,1,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.11165045725068956,-0.1296288766619744,-0.08439986358570387,1000,10,,,,
matched/seed12,12,1,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.28318079117046635,-0.22114001627943516,1000,10,-0.25481178263035054,,,
matched/seed12,12,1,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask1.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.41667553191489365,-0.32707932692307695,1000,10,,-0.3759036144578314,,
matched/seed12,12,1,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask1.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.1146523443170272,-0.1448586301519157,-0.0713138699375816,1000,10,,,,
matched/seed12,12,1,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask1.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2997549250305923,-0.2213985917855724,1000,10,-0.26551189135837194,,,
matched/seed12,12,1,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask1.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask1.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.24258956556032962,-0.15168358100761145,1000,10,,-0.2,,
matched/seed12,12,2,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask2.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.14197996806503121,-0.1671769541545013,-0.10826624806914757,1000,10,,,,
matched/seed12,12,2,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask2.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2579245055810658,-0.20966633932237022,1000,10,-0.23722820240293369,,,
matched/seed12,12,2,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask2.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.3919573102678571,-0.31169141787216575,1000,10,,-0.35662650602409635,,
matched/seed12,12,2,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask2.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.1427347946000871,-0.1713874975004478,-0.09800035978206953,1000,10,,,,
matched/seed12,12,2,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask2.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2730824706598175,-0.23118915001072612,1000,10,-0.2538772356178271,,,
matched/seed12,12,2,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask2.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gmm_fitted_mask2.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.3134669769106856,-0.21275545048594693,1000,10,,-0.26506024096385544,,
matched/seed12,12,3,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask3.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask3.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.1393148497604877,-0.18229929895593125,-0.10710534154669993,1000,10,,,,
matched/seed12,12,3,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_mask3.npz,logs/ts/ws/diagnosis_donors/matched/seed12/artifacts/diagnosis_gaussian_fitted_mask3.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.28012361400004915,-0.14836916325040647,1000,10,-0.22541129160694384,,,
