variant,method_name,mask,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,n_seeds,seeds
mixture,circuit,full,2.7036179524584814,0.11596399705729478,0.48303998463303316,0.10488948254186822,0.5927948437533764,0.017093966111301463,0.38524313354566503,0.027553381798851757,2.6188715921782344,0.12618490254167392,0.6260048934438319,0.032271671454743155,5.73727274127972,0.33725513761217357,3,"[11, 12, 13]"
mixture,circuit,random1:0,2.0855740957583544,0.009929162921501677,1.9034305433970096,0.006465289447086658,0.4128489702830486,0.06846344322424255,0.388432438133876,0.03040582822301644,1.9710381943974824,0.035679440706003575,0.4923894156701046,0.03498518484276975,3.7234353152096724,0.044229977191266846,3,"[11, 12, 13]"
mixture,circuit,random2:1-2,3.146516800399251,0.20963127594371916,-1.2260921842176837,0.19077334650417913,0.6948664720449166,0.039835548753506866,0.3828324576839637,0.02081009142090467,3.119371947847524,0.196860441177812,0.6747562773297732,0.05039200755013908,3.1810986650691064,0.21975781793620106,3,"[11, 12, 13]"
mixture,circuit,random3:1-2-3,0.37567521978103185,0.019129885502302463,0.16560476555118978,0.045741520453081386,0.9414984641297351,0.00586400599258774,0.37567521978103185,0.019129885502302463,0.0,0.0,,,0.3756752187876211,0.019129900529032108,3,"[11, 12, 13]"
mixture,circuit,single_sensor_0,0.37567521978103185,0.019129885502302463,0.16560476555118978,0.045741520453081386,0.9414984641297351,0.00586400599258774,0.37567521978103185,0.019129885502302463,0.0,0.0,,,0.3756752187876211,0.019129900529032108,3,"[11, 12, 13]"
random,circuit,bank0:0-1,2.165057969700968,0.08564557102922421,2.0193976947311714,0.04732273885888351,0.39571881392380304,0.06324483334899678,0.594780433954448,0.10292920358160579,1.9020322985404114,0.11362008495250246,0.33271702305448875,0.129234553201688,2.443439982497804,0.0881862943173708,3,"[11, 12, 13]"
random,circuit,full,2.937049407319266,0.07369379138209202,0.9474379452362703,0.2251435981284035,0.5717715718297453,0.04629144485810955,0.5747640619761506,0.02744810668509142,2.7451726297996424,0.06609497613061716,0.5948017999942948,0.02329524543435235,6.234861340527107,0.13853267545697245,3,"[11, 12, 13]"
random,circuit,random1:0,2.470381875955512,0.1273003271072139,2.316051133924862,0.13235075189140408,0.3341015442087503,0.05567168490649927,0.5795319456303222,0.062014030912416945,2.2137450930879825,0.11105635555158744,0.3088188329864357,0.08510575377104489,4.671322261311609,0.2276704581491694,3,"[11, 12, 13]"
random,circuit,random2:1-2,3.3016601106815116,0.33689256654016664,-0.98021552307597,0.35676136727950764,0.6171457137237002,0.07094887008910795,0.5811593203217222,0.020684465344239896,3.2372202396244014,0.3586656070662741,0.5641248055442079,0.10761924743573663,3.3867396864844905,0.3101644783696359,3,"[11, 12, 13]"
random,circuit,random3:1-2-3,0.560460411013636,0.07754459002942314,0.2637840739259126,0.08447867948954528,0.8856889576773669,0.02134683554101233,0.560460411013636,0.07754459002942314,0.0,0.0,,,0.560460411013636,0.07754459002942314,3,"[11, 12, 13]"
random,circuit,single_sensor_0,0.560460411013636,0.07754459002942314,0.2637840739259126,0.08447867948954528,0.8856889576773669,0.02134683554101233,0.560460411013636,0.07754459002942314,0.0,0.0,,,0.560460411013636,0.07754459002942314,3,"[11, 12, 13]"
