variant,method_name,mask,score,loc_ap_n_mean,loc_ap_n_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac,loc_ap_mean,loc_ap_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std
conditional,circuit,random1:0,joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random1:0,marginal_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random1:0,relational_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random2:1-2,conditional_max,200.0,0.0,0.09666666666666668,0.017559422921421233,0.0,0.0,161.0,4.58257569495584,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.7416666666666667,0.01233220715579061,0.4833333333333334,0.02466441431158123
conditional,circuit,random2:1-2,independent,200.0,0.0,0.028333333333333332,0.020816659994661327,0.0,0.0,191.33333333333334,5.859465277082315,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.7416666666666667,0.01233220715579061,0.4833333333333334,0.02466441431158123
conditional,circuit,random2:1-2,joint,200.0,0.0,0.04666666666666667,0.01892969448600091,0.0,0.0,182.33333333333334,4.509249752822894,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.7416666666666667,0.01233220715579061,0.4833333333333334,0.02466441431158123
conditional,circuit,random2:1-2,marginal_max,200.0,0.0,0.04,0.010000000000000002,0.0,0.0,185.0,5.5677643628300215,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.7416666666666667,0.01233220715579061,0.4833333333333334,0.02466441431158123
conditional,circuit,random2:1-2,relational_max,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.6,0.04548351349665063,,
conditional,circuit,random3:1-2-3,conditional_max,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random3:1-2-3,independent,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random3:1-2-3,joint,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random3:1-2-3,marginal_max,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,random3:1-2-3,relational_max,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",1.0,0.0,0.0,0.0,,,,
conditional,circuit,single_sensor_0,conditional_max,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,single_sensor_0,independent,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,single_sensor_0,joint,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,single_sensor_0,marginal_max,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional,circuit,single_sensor_0,relational_max,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,3,"[11, 12, 13]",1.0,0.0,0.0,0.0,,,,
conditional,known_law_oracle,bank0:0-1,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,bank0:0-1,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,bank0:0-1,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,bank0:0-1,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,bank0:0-1,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,full,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,full,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,full,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,full,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,full,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random1:0,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random1:0,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random1:0,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random1:0,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random1:0,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random2:1-2,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
